accession_no,ticker,cik,filed_at,filing_date,item_codes,body_keywords,direction,direction_confidence,direction_source,t0_close,t1_close,t5_close,next_day_return,five_day_return,label_t1,label_t5
0001193125-26-182196,GTY,0001052752,2026-04-27,2026-04-27,5.07,,,0.0,,33.3,33.14,32.99,-0.0048,-0.00931,neutral,neutral
0001193125-26-170641,GTY,0001052752,2026-04-22,2026-04-22,7.01|9.01,restate,short,0.85,body_keywords,33.21,33.76,32.8,0.01656,-0.01235,B_long,B_short
0001193125-26-170614,GTY,0001052752,2026-04-22,2026-04-22,2.02|9.01,,,0.0,,33.21,33.76,32.8,0.01656,-0.01235,B_long,B_short
0001193125-26-059712,GTY,0001052752,2026-02-19,2026-02-19,1.01|9.01,covenant_violation|issue_and_sell_shares|material_adverse_change|non_reliance|shelf_takedown,short,0.95,body_keywords,31.8,31.8,32.8,0.0,0.03145,neutral,A_long
0001193125-26-046692,GTY,0001052752,2026-02-11,2026-02-11,7.01|9.01,restate,short,0.85,body_keywords,31.07,33.02,31.8,0.06276,0.0235,A_long,B_long
0001193125-26-046677,GTY,0001052752,2026-02-11,2026-02-11,2.02|9.01,,,0.0,,31.07,33.02,31.8,0.06276,0.0235,A_long,B_long
0001193125-26-018169,GTY,0001052752,2026-01-21,2026-01-21,5.02|7.01|9.01,,,0.0,,29.6,29.19,28.8,-0.01385,-0.02703,B_short,B_short
0001193125-25-306965,GTY,0001052752,2025-12-03,2025-12-03,1.01|2.03|7.01|9.01,covenant_violation|restate,short,0.85,body_keywords,28.35,27.76,28.46,-0.02081,0.00388,B_short,neutral
0001193125-25-246880,GTY,0001052752,2025-10-22,2025-10-22,7.01|9.01,restate,short,0.85,body_keywords,27.53,28.23,27.78,0.02543,0.00908,B_long,neutral
0001193125-25-246857,GTY,0001052752,2025-10-22,2025-10-22,2.02|9.01,,,0.0,,27.53,28.23,27.78,0.02543,0.00908,B_long,neutral
0000950170-25-098126,GTY,0001052752,2025-07-24,2025-07-24,8.01|9.01,shelf_takedown,,0.0,,27.51,27.77,27.79,0.00945,0.01018,neutral,B_long
0000950170-25-097922,GTY,0001052752,2025-07-23,2025-07-23,7.01|9.01,restate,short,0.85,body_keywords,27.22,27.51,27.94,0.01065,0.02645,B_long,B_long
